,user,id,text,created_at,clean_text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,@naa_two,1409910088601505796,"@Airtel_Presence @airtelindia
Airtel Xstream connection down for over 4 days. Multiple calls to your customer care… https://t.co/SeIKSIyzJr",2021-06-29 16:22:14+00:00,presence airtel xstream connection down for over 4 days multiple calls to your customer care,-0.07777777777777779,0.14444444444444446,positive,0.0,0.802,0.198,0.4939
1,@naa_two,1407262317948014625,"Levy fine on ordinary citizens, while you roam around the city without a mask. Kindly practice what you preach.… https://t.co/YB3xPeLvOV",2021-06-22 09:00:56+00:00,levy fine on ordinary citizens while you roam around the city without a mask kindly practice what you preach,0.25555555555555554,0.6333333333333333,negative,0.129,0.783,0.088,-0.2091
2,@naa_two,1380432556382806017,"Stale food, an uncooked item, bad packaging, unprofessional delv exec. And when you want to raise an issue, you mee… https://t.co/mHz6ntObxK",2021-04-09 08:09:03+00:00,stale food an uncooked item bad packaging unprofessional delv exec and when you want to raise an issue you mee,-0.4333333333333333,0.4222222222222222,negative,0.271,0.677,0.052,-0.7579
3,@naa_two,1379817978976292864,RT @drharshvardhan: Politicising the important public health issue of #COVID19 &amp; spreading panic regarding vaccine supply is a damning indi…,2021-04-07 15:26:56+00:00,politicising the important public health issue of covid19 amp spreading panic regarding vaccine supply is a damning indi,0.2,0.5333333333333333,negative,0.265,0.651,0.084,-0.5994
4,@naa_two,1379420753410486274,"@Dev_Fadnavis @CMOMaharashtra कोणाकडून वचन पाळण्याची अपेक्षा करत होतात? २०१९ च्या विधानसभेच्या निवडणुका विसरलात का! 😆
#Maharashtra #Lockdown",2021-04-06 13:08:30+00:00,fadnavis maharashtra lockdown,0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,@naa_two,1379325094342762498,"Ppl standing in buses, overcrowded autos, fruit sellers on carts. But big stores and malls, where u could ensure so… https://t.co/VWP8cwU2bz",2021-04-06 06:48:23+00:00,ppl standing in buses overcrowded autos fruit sellers on carts but big stores and malls where u could ensure so,0.0,0.1,positive,0.0,0.841,0.159,0.5267
6,@naa_two,1327838725972185090,@nitin_gadkari Wonder if the #fastag implementation at EEH Toll in Mumbai is under the central or the state authori… https://t.co/mEQrzTmZtj,2020-11-15 04:59:56+00:00,gadkari wonder if the fastag implementation at eeh toll in mumbai is under the central or the state authori,0.0,0.25,neutral,0.0,1.0,0.0,0.0
7,@naa_two,1318906590058094592,"3 months exactly, and you pathetic people haven't had the basic sense to at least understand the issue, let alone s… https://t.co/lJKv6nPoVq",2020-10-21 13:26:49+00:00,3 months exactly and you pathetic people haven t had the basic sense to at least understand the issue let alone s,-0.2625,0.44375,negative,0.251,0.749,0.0,-0.6908
8,@naa_two,1312599296932564995,2½ months and no resolution. Bhikhari se bhattar hain yeh log. @JioMart @JioMart_Support #Crap #NeedMyMoneyBack #ShutYourShop @reliancejio,2020-10-04 03:43:53+00:00,2 months and no resolution bhikhari se bhattar hain yeh log support crap needmymoneyback shutyourshop,-0.8,0.8,negative,0.259,0.595,0.146,-0.2732
9,@naa_two,1309323330579656704,@TMCaTweetAway Pohocha nahi lagta hai concerned department tak. #Thane @TMCaTweetAway https://t.co/QUpUmoQkH5,2020-09-25 02:46:22+00:00,pohocha nahi lagta hai concerned department tak thane,0.0,0.0,neutral,0.0,1.0,0.0,0.0
