,user,id,text,created_at,clean_text,polarity,subjectivity,sentiment,neg,neu,pos,compound,topic_id,topic
0,@naa_two,1409910088601505796,"@Airtel_Presence @airtelindia
Airtel Xstream connection down for over 4 days. Multiple calls to your customer care… https://t.co/SeIKSIyzJr",2021-06-29 16:22:14+00:00,presence airtel xstream connection down for over 4 days multiple calls to your customer care,-0.07777777777777779,0.14444444444444446,positive,0.0,0.802,0.198,0.4939,0,Cricket
1,@naa_two,1379325094342762498,"Ppl standing in buses, overcrowded autos, fruit sellers on carts. But big stores and malls, where u could ensure so… https://t.co/VWP8cwU2bz",2021-04-06 06:48:23+00:00,ppl standing in buses overcrowded autos fruit sellers on carts but big stores and malls where u could ensure so,0.0,0.1,positive,0.0,0.841,0.159,0.5267,0,Cricket
2,@naa_two,1302794904658087942,Teen Hath Naka service road or an Iraq warzone? Repair or clear the debris. Lets get the basics correct. #Thane… https://t.co/MFxFYiL0Hp,2020-09-07 02:24:44+00:00,teen hath naka service road or an iraq warzone repair or clear the debris lets get the basics correct thane,0.05000000000000001,0.19166666666666665,positive,0.0,0.88,0.12,0.3818,0,Cricket
3,@naa_two,1302219103399157763,"@JioMart_Support What purpose does DMing you the details serve? You haven't even responded to my query.

You keep o… https://t.co/mKoVqeIlEz",2020-09-05 12:16:42+00:00,support what purpose does dming you the details serve you haven t even responded to my query you keep o,0.0,0.0,positive,0.0,0.863,0.137,0.4019,0,Cricket
4,@naa_two,1295265898375217154,@Oke_the_Pushkar @JioMart_Support True. Any other online retailer would be better than #JioMart. These guys don't e… https://t.co/BD8RCU6JYm,2020-08-17 07:47:09+00:00,the pushkar support true any other online retailer would be better than jiomart these guys don t e,0.24166666666666667,0.5083333333333333,positive,0.0,0.607,0.393,0.8126,0,Cricket
5,@naa_two,1295256088682496001,@JioMart_Support Why is it almost impossible to reach you guys on the customer helpline? You guys haven't refunded… https://t.co/qI1tC8qL1x,2020-08-17 07:08:10+00:00,support why is it almost impossible to reach you guys on the customer helpline you guys haven t refunded,-0.6666666666666666,1.0,positive,0.059,0.805,0.136,0.3687,0,Cricket
6,@naa_two,1230844323954118656,"Don't just think great ideas, implement them as well. All fastag and non fastag cars getting mixed up leading to bi… https://t.co/8USVcbBPyH",2020-02-21 13:18:49+00:00,don t just think great ideas implement them as well all fastag and non fastag cars getting mixed up leading to bi,0.4,0.5,positive,0.0,0.754,0.246,0.7351,2,Opposition
7,@naa_two,1193786617913171968,"#ShivSenaCheatsMaharashtra
Nice bit of backstabbing there @ShivsenaComms. The only reason many people even voted yo… https://t.co/IqcmkeaDAK",2019-11-11 07:04:43+00:00,shivsenacheatsmaharashtra nice bit of backstabbing there the only reason many people even voted yo,0.3666666666666667,0.8333333333333334,positive,0.0,0.823,0.177,0.4215,0,Cricket
8,@naa_two,1175152354997325824,"Why am I, as a law abiding citizen who is not causing any disturbance to public, required to evacuate from the Mari… https://t.co/gumr3lZILm",2019-09-20 20:58:49+00:00,why am i as a law abiding citizen who is not causing any disturbance to public required to evacuate from the mari,0.0,0.06666666666666667,positive,0.0,0.897,0.103,0.2924,2,Opposition
9,@naa_two,883340467936612354,@ThaneCityPolice Thank you. Hope the action is taken promptly. ✌️ @ThaneCityPolice @Dev_Fadnavis,2017-07-07 15:02:33+00:00,thank you hope the action is taken promptly fadnavis,0.1,0.1,positive,0.0,0.565,0.435,0.6597,2,Opposition
10,@naa_two,850284677239894016,@Ashok_Gajapathi This would only encourage the goons of Sena. This is not why we voted you. This is not our Government. @narendramodi (2/2),2017-04-07 09:50:39+00:00,gajapathi this would only encourage the goons of sena this is not why we voted you this is not our government 2 2,0.0,1.0,positive,0.0,0.858,0.142,0.5106,1,Modi
11,@naa_two,805759905005182977,"And that piece goes like this:

”As Jaya lay in state, and a stream of cadres and visitors trooped down around the body...""

#jayalalithaa",2016-12-05 13:05:06+00:00,and that piece goes like this as jaya lay in state and a stream of cadres and visitors trooped down around the body jayalalithaa,-0.15555555555555559,0.2888888888888889,positive,0.0,0.898,0.102,0.3612,0,Cricket
12,@naa_two,805759268515356672,"Wow. People jumping the gun on #jayalalithaa but this article takes it to another level! 

https://t.co/4iQl5JTCf7 https://t.co/iGyIPL5Smo",2016-12-05 13:02:34+00:00,wow people jumping the gun on jayalalithaa but this article takes it to another level,0.1,1.0,positive,0.099,0.76,0.14,0.1779,2,Opposition
13,@naa_two,784635425310859265,Such utter disregard for consumers. Call centres are of no help. And local office can't be contacted. Good governan… https://t.co/V56Xp1ikRg,2016-10-08 06:03:57+00:00,such utter disregard for consumers call centres are of no help and local office can t be contacted good governan,0.175,0.525,positive,0.173,0.602,0.225,0.3182,1,Modi
14,@naa_two,750901638047539200,"@sureshpprabhu @RailMinIndia Get the services running asap. In the otherwise deplorable transport infra of Mumbai, u're our only hope. (4/4)",2016-07-07 03:57:56+00:00,get the services running asap in the otherwise deplorable transport infra of mumbai u re our only hope 4 4,-0.3,0.95,positive,0.0,0.847,0.153,0.4404,2,Opposition
